slug,name_zh,name_en,desc_zh,desc_en,category,category_zh,category_en,url,detail_url,tags,monthly_visits
"ai-poem-generator","AI Poem Generator","AI Poem Generator","输入一个主题即可生成押韵英文诗歌的免费在线工具，无需注册打开即用，界面极简，适合贺卡、社交配文与英语课堂等轻量创作场景。","Free browser tool that turns a topic into rhyming English verse. No signup — handy for cards, captions and classroom exercises.","text","文本生成与编辑","Text Generation & Editing","https://www.aipoemgenerator.org/","https://topxai.cn/ai/ai-poem-generator","诗歌 / 创作 / 免费","8140"
"biling-ai","笔灵AI","Biling AI","一站式中文 AI 写作工具，官方称覆盖论文、公文、PPT、简历等 200 多个真实场景，提供大纲生成、文档续写润色、降重与去 AI 痕迹、简历与新媒体文案等能力。","Chinese AI writing suite covering 200+ scenarios from theses and official documents to slides and resumes, with outlining, rewriting, deduplication and AI-trace removal.","text","文本生成与编辑","Text Generation & Editing","https://ibiling.cn/","https://topxai.cn/ai/biling-ai","AI写作 / 论文写作 / 办公效率","56352"
"cailiaoxing","材料星","材料星","西安筷子帮推出的公文与办公写作 AI 工具，官网称含 40W+ 范文素材、120+ 智能体、4 个精调模型与一键排版，支持一次写 1.2 万字长文。","","text","文本生成与编辑","Text Generation & Editing","https://cailiaoxing.com","https://topxai.cn/ai/cailiaoxing","AI公文写作 / 办公助手 / 写作素材库",""
"chuangfei","创飞写作","创飞写作","专为网文作者设计的小说创作工具，官网列出 AI 故事生成、角色生成、世界观生成、AI 拆书与一键成文，可从一句创意生成大纲到正文。","","text","文本生成与编辑","Text Generation & Editing","https://www.chuangfeiai.com","https://topxai.cn/ai/chuangfei","AI写作 / 网文创作 / 小说生成",""
"cohere","Cohere","Cohere","面向企业的 AI 平台与模型服务商，提供可私有化部署的智能体平台 North 与自研模型，帮企业把内部分散数据转成可用洞察与自动化流程。","Enterprise AI platform and model provider, offering the deployable North agent platform alongside in-house models that turn scattered internal data into insight and automation.","text","文本生成与编辑","Text Generation & Editing","https://cohere.com/","https://topxai.cn/ai/cohere","企业 / 大模型 / 私有化","608520"
"compose-ai","Compose AI","Compose AI","浏览器写作扩展，在你打字的地方自动补全句子并按你的语气给出个性化建议，官方称可省约 40% 写作时间，已有 1 万+ 团队与 40 万人使用，可免费安装。","Browser extension that autocompletes sentences and suggests phrasing in your own tone wherever you type. Free to install.","text","文本生成与编辑","Text Generation & Editing","https://www.compose.ai/","https://topxai.cn/ai/compose-ai","写作 / 浏览器插件 / 补全","65880"
"danqingmiaobi","丹青妙笔","丹青妙笔","华文智言推出的 AI 公文写作工具，主打 Word 式操作台、范文文库与 AI 一键排版，提供金句、大纲、用典查询和原创度检测，官方称可写 1.2 万字长文。","","text","文本生成与编辑","Text Generation & Editing","https://www.danqingmiaobi.com","https://topxai.cn/ai/danqingmiaobi","AI公文写作 / 公文助手 / 办公写作",""
"editgpt","editGPT","editGPT","基于 ChatGPT 的写作编辑工具，官方定位是「用强大的 AI 编辑器校对、编辑并改进你的写作」，并且特别强调「在 Word 中追踪修改」这一能力——每条修改都能像人工编辑一样被查看、接受或拒绝。","ChatGPT-powered writing editor that improves text inside Word using tracked changes you can review, accept or reject one at a time.","text","文本生成与编辑","Text Generation & Editing","https://www.editgpt.app/","https://topxai.cn/ai/editgpt","校对 / 编辑 / 修订","223690"
"grammarly","Grammarly","Grammarly","老牌 AI 写作助手，在任意网站和应用中提供语法校对、段落重写、语气调整、去 AI 味与 AI 检测等能力，官网定位为随时可用的 AI 写作伙伴，覆盖职场与教育两类场景。","Long-established AI writing assistant handling grammar, rewriting, tone adjustment and AI detection across any website or app.","text","文本生成与编辑","Text Generation & Editing","https://www.grammarly.com/","https://topxai.cn/ai/grammarly","英文润色 / 语法检查 / AI写作助手","49284383"
"groq","Groq","Groq","Groq 自研 LPU 芯片驱动的推理云，以超低延迟运行 Llama、Mixtral 等开源模型，OpenAI 兼容 API 迁移成本低，官方称每周处理数万亿 token。","Inference cloud running open models like Llama and Mixtral on Groq's own LPU chips, with an OpenAI-compatible API for easy migration.","text","文本生成与编辑","Text Generation & Editing","https://groq.com/","https://topxai.cn/ai/groq","推理 / API / 高性能","4200000"
